"Model","RMSE","MAE"
"Naive",3084.5430915021,2917.86111111111
"Seasonal Naive",1260.97520682297,1115.41666666667
"ARIMA(0,1,1)",1334.1250301939,977.86466103001
"ARIMA(1,1,1)",1335.18246684702,978.238891867648
"ARIMA(1,1,0)",2264.48078754773,2073.93273110832
